,Type,Date,Amount,Description,Labels
1510,expense,2025-10-14,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1511,expense,2025-10-15,-1.23,To Instant Access Savings,['Investimenti&Risparmi']
1512,expense,2025-10-14,-31.0,The Vaping Company,['Fumo']
1513,expense,2025-10-14,-1.9,Carrefour,['SpesaCasa']
1514,expense,2025-10-15,-60.59,Amazon,['AcquistiOnline']
1515,expense,2025-10-16,-1.47,To Instant Access Savings,['Investimenti&Risparmi']
1516,expense,2025-10-16,-8.51,Pam Panorama,['SpesaCasa']
1517,expense,2025-10-17,-20.0,To Instant Access Savings,['Investimenti&Risparmi']
1518,expense,2025-10-17,-2.13,To Instant Access Savings,['Investimenti&Risparmi']
1519,expense,2025-10-17,-0.87,To Instant Access Savings,['Investimenti&Risparmi']
1520,expense,2025-10-17,-0.6,To Instant Access Savings,['Investimenti&Risparmi']
1521,expense,2025-10-18,-20.0,To Robo portfolio,['Investimenti&Risparmi']
1522,expense,2025-10-17,-1.71,Pam Panorama,['SpesaCasa']
1523,expense,2025-10-17,-2.8,Pam Panorama,['SpesaCasa']
1524,expense,2025-10-17,-39.0,IP Italiana Petroli,['Movimento']
1525,expense,2025-10-18,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1526,expense,2025-10-18,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1527,expense,2025-10-19,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1528,expense,2025-10-18,-29.0,Caffetteria Antonelli,['Pub&Locali&Eventi']
1529,expense,2025-10-18,-15.0,Caffetteria Antonelli,['Pub&Locali&Eventi']
1530,expense,2025-10-19,-0.3,To Instant Access Savings,['Investimenti&Risparmi']
1531,expense,2025-10-19,-2.1,To Instant Access Savings,['Investimenti&Risparmi']
1532,expense,2025-10-19,-64.3,Ayo,['Generic']
1533,expense,2025-10-19,-9.9,Farmacia Comunale n. 2,['CuraPersonale']
1534,expense,2025-10-19,-12.0,B House Srl Via Miche.,['Generic']
1535,expense,2025-10-22,-0.03,To Instant Access Savings,['Investimenti&Risparmi']
1536,expense,2025-10-22,-0.03,To Instant Access Savings,['Investimenti&Risparmi']
1537,expense,2025-10-22,-9.99,Amazon,['AcquistiOnline']
1538,expense,2025-10-22,-11.99,Amazon,['AcquistiOnline']
1539,expense,2025-10-23,-0.03,To Instant Access Savings,['Investimenti&Risparmi']
1540,income,2025-10-23,1200.0,From Instant Access Savings,['Giroconto']
1541,expense,2025-10-23,-1200.0,To Robo portfolio,['Investimenti&Risparmi']
1542,expense,2025-10-23,-6.99,Amazon Kindle,['AcquistiOnline']
